fingerprint,alpha_type,regular_expression,selection_expression,combo_expression,settings_json,simulate_data_json,sim_id,status,timestamp,alpha_id,pnl,sharpe,turnover,fitness,error,error_details
cc1d6503d9a14a648984fb5d36f4d96e,REGULAR,"add(fnd44_probability_restatement_global, fnd44_factor_benford)",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""add(fnd44_probability_restatement_global, fnd44_factor_benford)"", ""type"": ""REGULAR""}",3sJIhU5x155yb1mqF44xGV2,COMPLETE,1787118184.150048,zqkMApvo,-1604725,-0.21,0.093,-0.07,,
583f1f71931f0dafdb1f12ff134f2b2e,REGULAR,"divide(fnd44_cashflow_accruals, add(fnd44_working_capital_accruals, 0.0001))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""divide(fnd44_cashflow_accruals, add(fnd44_working_capital_accruals, 0.0001))"", ""type"": ""REGULAR""}",4eGI1P7au50lcI39o26IC3j,COMPLETE,1787118184.6988342,rKj30X1a,2416740,0.23,0.153,0.09,,
ef63fd444e08f3e8fc9185a0da049a77,REGULAR,"multiply(fnd44_factor_benford, fnd44_working_capital_accruals)",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""multiply(fnd44_factor_benford, fnd44_working_capital_accruals)"", ""type"": ""REGULAR""}",1RWKK4ahb58Ja2fyUU2g5c4,COMPLETE,1787118185.5785441,Xg7rN6gl,-4337029,-0.59,0.0919,-0.34,,
183fedda4ad5e83de71b5273b2bfa6b6,REGULAR,reverse(fnd44_perc_accruals),,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""reverse(fnd44_perc_accruals)"", ""type"": ""REGULAR""}",3rn2i3Ck4k8az87pS7KAzb,COMPLETE,1787118186.0028358,E5l7mJ5m,660309,0.09,0.0883,0.02,,
d9b9438154e10c1bf893e55c6956f0ce,REGULAR,reverse(fnd44_probability_restatement_global),,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""reverse(fnd44_probability_restatement_global)"", ""type"": ""REGULAR""}",3ZZupt5GR5eQ9HxN5ma7wka,COMPLETE,1787118186.4535167,0mwlGvOv,-3631114,-0.4,0.1564,-0.19,,
a7ae226712d8aaa57c3ec9d7b15658e6,REGULAR,reverse(fnd44_probability_restatement),,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""reverse(fnd44_probability_restatement)"", ""type"": ""REGULAR""}",3vayJe5IP5b29uPC27a153G,COMPLETE,1787118186.886334,2rl0Gd8N,-1834669,-0.23,0.1299,-0.08,,
4eee989004711b1f75895a0ce050ed17,REGULAR,reverse(fnd44_yoon_wc_accruals),,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""reverse(fnd44_yoon_wc_accruals)"", ""type"": ""REGULAR""}",1skbR0Uw4rgc46KKahp6Qt,COMPLETE,1787118187.3212538,omqpPO8b,937708,0.12,0.0946,0.03,,
31fa7233f6e1d160633e76748d373cba,REGULAR,"subtract(fnd44_modified_jones_cf_accruals, fnd44_modified_jones_cf_accruals)",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""subtract(fnd44_modified_jones_cf_accruals, fnd44_modified_jones_cf_accruals)"", ""type"": ""REGULAR""}",1AsMaj11I4QXb7A1hyJdlVTS,COMPLETE,1787118188.7243786,Vk79MJVw,0,0.0,0.0,,,
