fingerprint,alpha_type,regular_expression,selection_expression,combo_expression,settings_json,simulate_data_json,sim_id,status,timestamp,alpha_id,pnl,sharpe,turnover,fitness,error,error_details
a199c48f4797238c26bf2347b93eb11e,REGULAR,"divide(subtract(anl39_tp_all_delay_1_high, anl39_tp_all_delay_1_low), add(abs(anl39_tp_all_delay_1_mean), 0.0001))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""divide(subtract(anl39_tp_all_delay_1_high, anl39_tp_all_delay_1_low), add(abs(anl39_tp_all_delay_1_mean), 0.0001))"", ""type"": ""REGULAR""}",Ll6U35Zz4Lk9KT17nSK4Bh2,COMPLETE,1787121979.3440976,1Yw9AxgX,2228480,0.27,0.0289,0.11,,
4455a34604a5098d0ee7119edab92627,REGULAR,"divide(subtract(anl39_ttmepsincx, anl39_ptmepsincx), add(abs(anl39_ptmepsincx), 0.0001))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""divide(subtract(anl39_ttmepsincx, anl39_ptmepsincx), add(abs(anl39_ptmepsincx), 0.0001))"", ""type"": ""REGULAR""}",4bbrDc6pY4vxaHMgRrNdTlo,COMPLETE,1787121979.772314,gJjAVQ3g,10996954,0.76,0.0508,0.7,,
a4d41bb6d7e0cd0f8176d65db6f37f1a,REGULAR,"divide(anl39_roxlcxspeq, add(abs(anl39_qtanbvps), 0.0001))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""divide(anl39_roxlcxspeq, add(abs(anl39_qtanbvps), 0.0001))"", ""type"": ""REGULAR""}",2N3aLZ3SH4Q8bK38zlPjmz,COMPLETE,1787121980.1905138,YP7ro5AR,8715173,0.51,0.0513,0.42,,
c1c03308f5a036f157bdcbc38c710f06,REGULAR,"divide(anl39_tp_all_delay_1_stddev, abs(anl39_tp_all_delay_1_mean))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""divide(anl39_tp_all_delay_1_stddev, abs(anl39_tp_all_delay_1_mean))"", ""type"": ""REGULAR""}",2tIg3Xcyk4tM91eqHuk2xxY,COMPLETE,1787121980.6776593,wpjmkYRx,2911309,0.38,0.0332,0.18,,
52e1d86d864c22cb5c98ae101624c32a,REGULAR,"log(add(anl39_tp_all_delay_1_numofests, 1))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""log(add(anl39_tp_all_delay_1_numofests, 1))"", ""type"": ""REGULAR""}",1FVzEe2kg4VEavmfPxl7kt4,COMPLETE,1787121981.0946517,78jARZwQ,244166,0.02,0.0176,0.0,,
aa69dc132aa3967b06dbf568c3c697ab,REGULAR,"subtract(anl39_agrosmgn2, anl39_agrosmgn2)",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""subtract(anl39_agrosmgn2, anl39_agrosmgn2)"", ""type"": ""REGULAR""}",4BEQLQ3qx4MuahCkTSuWjtj,COMPLETE,1787121981.4971561,RR73wVp1,0,0.0,0.0,,,
05f9333623a4385be1bf53e4ce6c7ae3,REGULAR,"subtract(anl39_agrosmgn, anl39_agrosmgn2)",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""subtract(anl39_agrosmgn, anl39_agrosmgn2)"", ""type"": ""REGULAR""}",4pfQjl2Jc5cb9EuBptyxGQy,COMPLETE,1787121981.896032,RR73wVpz,2057476,0.2,0.0303,0.08,,
47a6d7cf74e0414e0c83d0aa7041b368,REGULAR,"subtract(anl39_epschngin, anl39_rygnhcspe)",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""subtract(anl39_epschngin, anl39_rygnhcspe)"", ""type"": ""REGULAR""}",4n4l5qPF4K4ccPaQFkFKnf,COMPLETE,1787121982.2991283,88lox3Qm,-6117108,-0.37,0.0629,-0.25,,
