fingerprint,alpha_type,regular_expression,selection_expression,combo_expression,settings_json,simulate_data_json,sim_id,status,timestamp,alpha_id,pnl,sharpe,turnover,fitness,error,error_details
64dc65754eb4cfd548e22106a2c95a86,REGULAR,"divide(subtract(365, vec_avg(nws79_title_similarity_days)), 365)",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""divide(subtract(365, vec_avg(nws79_title_similarity_days)), 365)"", ""type"": ""REGULAR""}",1Gyd3UgJg5iHbE8FaRstdN4,COMPLETE,1787121142.3245733,2rl02oL5,1045578,0.12,0.4081,0.02,,
05e804ec486730d72987c26d260afeb3,REGULAR,"divide(subtract(365, vec_avg(nws79_title_similarity_days_201)), 365)",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""divide(subtract(365, vec_avg(nws79_title_similarity_days_201)), 365)"", ""type"": ""REGULAR""}",1hYAz3Cd5ah8Kd17mzH4v0j,COMPLETE,1787121142.6799643,2rl02oL5,1045578,0.12,0.4081,0.02,,
66b69be5420fd63a5c00bf9e9ad9fadb,REGULAR,"divide(subtract(vec_count(nws79_event_sentiment), ts_mean(vec_count(nws79_event_sentiment), 20)), add(ts_std_dev(vec_count(nws79_event_sentiment), 20), 0.0001))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""divide(subtract(vec_count(nws79_event_sentiment), ts_mean(vec_count(nws79_event_sentiment), 20)), add(ts_std_dev(vec_count(nws79_event_sentiment), 20), 0.0001))"", ""type"": ""REGULAR""}",3gtuuS27W57B8HxX9be4QsT,COMPLETE,1787121143.1233253,vRjqoXv3,-927140,-0.09,0.4367,-0.01,,
68fd793c2b7379b8f9efa2dc67e73169,REGULAR,"divide(subtract(vec_count(nws79_event_sentiment_196), ts_mean(vec_count(nws79_event_sentiment_196), 20)), add(ts_std_dev(vec_count(nws79_event_sentiment_196), 20), 0.0001))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""divide(subtract(vec_count(nws79_event_sentiment_196), ts_mean(vec_count(nws79_event_sentiment_196), 20)), add(ts_std_dev(vec_count(nws79_event_sentiment_196), 20), 0.0001))"", ""type"": ""REGULAR""}",44nGhtfma4OcbhA6mNkOKa3,COMPLETE,1787121143.4795487,vRjqoXv3,-927140,-0.09,0.4367,-0.01,,
29af50db39e9f8eec14cae711b01033d,REGULAR,"divide(vec_sum(nws79_composite_sentiment_score), add(vec_sum(nws79_document_sentiment_confidence), 0.0001))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""divide(vec_sum(nws79_composite_sentiment_score), add(vec_sum(nws79_document_sentiment_confidence), 0.0001))"", ""type"": ""REGULAR""}",mgz9C4Ly54KcwioCWl83Qk,COMPLETE,1787121143.8702533,ZY751vKj,1645601,0.11,0.455,0.02,,
abf4457c472e667931e70da2d338a017,REGULAR,"divide(vec_sum(nws79_composite_sentiment_score_191), add(vec_sum(nws79_document_sentiment_confidence), 0.0001))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""divide(vec_sum(nws79_composite_sentiment_score_191), add(vec_sum(nws79_document_sentiment_confidence), 0.0001))"", ""type"": ""REGULAR""}",4AwhCichV4CVajtrLUk87RH,COMPLETE,1787121144.247831,ZY751vKj,1645601,0.11,0.455,0.02,,
336f5323b66ae673ee273cce77e9b9a5,REGULAR,"divide(vec_sum(nws79_composite_sentiment_score), add(vec_sum(nws79_document_sentiment_confidence_193), 0.0001))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""divide(vec_sum(nws79_composite_sentiment_score), add(vec_sum(nws79_document_sentiment_confidence_193), 0.0001))"", ""type"": ""REGULAR""}",4lrlB1dUz4sMb6j1aljQ7sit,COMPLETE,1787121144.6106231,ZY751vKj,1645601,0.11,0.455,0.02,,
bbbb6c50936cb9d9e3eea0cba850d570,REGULAR,"divide(vec_sum(nws79_composite_sentiment_score_191), add(vec_sum(nws79_document_sentiment_confidence_193), 0.0001))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""divide(vec_sum(nws79_composite_sentiment_score_191), add(vec_sum(nws79_document_sentiment_confidence_193), 0.0001))"", ""type"": ""REGULAR""}",1oDExw5ay4IV94eSvsmt13O,COMPLETE,1787121144.9744318,ZY751vKj,1645601,0.11,0.455,0.02,,
