fingerprint,alpha_type,regular_expression,selection_expression,combo_expression,settings_json,simulate_data_json,sim_id,status,timestamp,alpha_id,pnl,sharpe,turnover,fitness,error,error_details
e8a273da15e1600f0ef6a7cc68f74715,REGULAR,"add(rank(ts_zscore(momentum_williams_r_adjusted, 60)), multiply(-rank(ts_zscore(returns, 42)), 0.35))",,,"{""decay"": 4, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""add(rank(ts_zscore(momentum_williams_r_adjusted, 60)), multiply(-rank(ts_zscore(returns, 42)), 0.35))"", ""type"": ""REGULAR""}",3LiKmQ9eE55rcMuoaZ2prwa,COMPLETE,1787124413.1810813,A1lZRbKY,5577456,0.62,0.2974,0.26,,
a381daeaa90658dd570cd52df5a2baac,REGULAR,"add(rank(ts_zscore(money_flow_strength_typical_price, 60)), multiply(-rank(ts_zscore(returns, 42)), 0.35))",,,"{""decay"": 4, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""add(rank(ts_zscore(money_flow_strength_typical_price, 60)), multiply(-rank(ts_zscore(returns, 42)), 0.35))"", ""type"": ""REGULAR""}",1Ckggadqn4nY9zHCBxoh2Nq,COMPLETE,1787124413.6624966,Vk7jvEJ0,-1916742,-0.29,0.1864,-0.09,,
0262f670112c0d7c39f85bd01c0ef045,REGULAR,"add(rank(ts_zscore(liquidity_money_flow_alignment, 60)), multiply(-rank(ts_zscore(returns, 42)), 0.35))",,,"{""decay"": 4, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""add(rank(ts_zscore(liquidity_money_flow_alignment, 60)), multiply(-rank(ts_zscore(returns, 42)), 0.35))"", ""type"": ""REGULAR""}",3IaUxg5k55hka5dPFuRy1bL,COMPLETE,1787124414.0118623,lejOL2Xn,-2706673,-0.34,0.1697,-0.13,,
c364c40e8ac411e6ce5222929347b9fb,REGULAR,"add(rank(ts_zscore(balanced_price_oscillator, 60)), multiply(-rank(ts_zscore(returns, 42)), 0.35))",,,"{""decay"": 4, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""add(rank(ts_zscore(balanced_price_oscillator, 60)), multiply(-rank(ts_zscore(returns, 42)), 0.35))"", ""type"": ""REGULAR""}",3xOw0ybJw5hncvv1e6b8Lhe0,COMPLETE,1787124414.4192312,2rlz1Rkb,-707778,-0.09,0.282,-0.01,,
4e4887cc7767dab1c021d22c67a5170e,REGULAR,"add(rank(ts_zscore(cumulative_money_flow_volume_adjusted, 60)), multiply(-rank(ts_zscore(returns, 42)), 0.35))",,,"{""decay"": 4, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""add(rank(ts_zscore(cumulative_money_flow_volume_adjusted, 60)), multiply(-rank(ts_zscore(returns, 42)), 0.35))"", ""type"": ""REGULAR""}",gDMo6agU56obRbSOeYpHjK,COMPLETE,1787124414.7753973,RR7QJYLd,4532919,0.74,0.2626,0.3,,
3250b229e521a1aac39e756d14c10dc8,REGULAR,"add(rank(ts_zscore(short_term_price_change, 60)), multiply(-rank(ts_zscore(returns, 42)), 0.35))",,,"{""decay"": 4, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""add(rank(ts_zscore(short_term_price_change, 60)), multiply(-rank(ts_zscore(returns, 42)), 0.35))"", ""type"": ""REGULAR""}",EVHKwzV5j8cArRvFlq6E4,COMPLETE,1787124415.136323,QP7k1jdG,-1525879,-0.24,0.1524,-0.07,,
738d3fb3d2a9a751b2cd907a2fb6e777,REGULAR,"add(rank(ts_zscore(typical_price_bollinger_band_position, 60)), multiply(-rank(ts_zscore(returns, 42)), 0.35))",,,"{""decay"": 4, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""add(rank(ts_zscore(typical_price_bollinger_band_position, 60)), multiply(-rank(ts_zscore(returns, 42)), 0.35))"", ""type"": ""REGULAR""}",3tMRMR8VV5aR8EXGSfg8TmB,COMPLETE,1787124415.4784412,58l0Z9V5,5464815,0.77,0.3018,0.32,,
e2b63d8810ecf64478cc1be83b9d41e8,REGULAR,"add(rank(ts_zscore(volume_trend_money_flow_interaction, 60)), multiply(-rank(ts_zscore(returns, 42)), 0.35))",,,"{""decay"": 4, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""add(rank(ts_zscore(volume_trend_money_flow_interaction, 60)), multiply(-rank(ts_zscore(returns, 42)), 0.35))"", ""type"": ""REGULAR""}",2diZel3ap4nwaU5fFk9lvla,COMPLETE,1787124415.8157806,N17mX6oE,1971453,0.34,0.2731,0.09,,
