fingerprint,alpha_type,regular_expression,selection_expression,combo_expression,settings_json,simulate_data_json,sim_id,status,timestamp,alpha_id,pnl,sharpe,turnover,fitness,error,error_details
23ed393766a3e793e4eb0d96992ec79e,REGULAR,"divide(ts_std_dev(mdl53_jc5_1year, 252), abs(ts_mean(mdl53_jc5_1year, 252)))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""divide(ts_std_dev(mdl53_jc5_1year, 252), abs(ts_mean(mdl53_jc5_1year, 252)))"", ""type"": ""REGULAR""}",UOAPC9YP4VsacQoFbA0gfd,COMPLETE,1787120033.8099551,E5l7LqoP,-1957366,-0.22,0.0287,-0.09,,
849da0c353a28aecbe2a91b7ab83b2f4,REGULAR,"divide(mdl53_implied_spreads, add(annualized_pd_1_year_jc7, 0.0001))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""divide(mdl53_implied_spreads, add(annualized_pd_1_year_jc7, 0.0001))"", ""type"": ""REGULAR""}",31OgejfgX4INbFW10fkGFKKL,COMPLETE,1787120034.1804218,N17w3nWp,3823490,0.47,0.2111,0.2,,
fc838726ec1ccd203b7c91a20ba9fb74,REGULAR,"divide(mdl53_jm5_1month, add(mdl53_jm5_10year, 0.0001))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""divide(mdl53_jm5_1month, add(mdl53_jm5_10year, 0.0001))"", ""type"": ""REGULAR""}",1kWCx66Ii4rq9YvZzLzgxF4,COMPLETE,1787120034.4982052,LL7jrnbv,-6245633,-0.56,0.0547,-0.39,,
746836658221d3bc75db8d16e8e1ee55,REGULAR,log(mdl53_implied_spreads),,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""log(mdl53_implied_spreads)"", ""type"": ""REGULAR""}",3hVpk58H74jBazhY8jCawN8,COMPLETE,1787120034.8269298,QP7Jgnq5,-2433310,-0.21,0.0489,-0.09,,
62f003a4302fc697c0e401c78f61efde,REGULAR,"max(mdl53_jc6_1month, mdl53_jc6_6month, mdl53_jc6_1year, mdl53_jc6_5year, mdl53_jc6_10year)",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""max(mdl53_jc6_1month, mdl53_jc6_6month, mdl53_jc6_1year, mdl53_jc6_5year, mdl53_jc6_10year)"", ""type"": ""REGULAR""}",4FfuHd8Nf4Mmc6sAzLZom7j,COMPLETE,1787120035.1757553,wpjmP5Ov,-4913454,-0.44,0.0377,-0.27,,
bff649b619d896d59531b5cd8b1e6b65,REGULAR,"multiply(add(mdl53_jc5_1year, mdl53_jc6_1year, mdl53_jm5_1year, mdl53_ms5_1year), 0.25)",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""multiply(add(mdl53_jc5_1year, mdl53_jc6_1year, mdl53_jm5_1year, mdl53_ms5_1year), 0.25)"", ""type"": ""REGULAR""}",157edz3DR4sFagGuCq3Q0jH,COMPLETE,1787120035.4945357,9qXvm9KK,-9303572,-0.62,0.0506,-0.53,,
85bc285f46c949c583b5bf5e076599d0,REGULAR,"sign(ts_delta(mdl53_implied_ratings, 252))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""sign(ts_delta(mdl53_implied_ratings, 252))"", ""type"": ""REGULAR""}",3CyxJy2tr56saGX147gEn8Sl,COMPLETE,1787120035.8466911,kqj7OnXO,1949447,0.3,0.087,0.12,,
49b1c59c4de2396e24a958c79f872a3e,REGULAR,"subtract(max(mdl53_jc5_1year, mdl53_jc6_1year, mdl53_jm5_1year, mdl53_ms5_1year), min(mdl53_jc5_1year, mdl53_jc6_1year, mdl53_jm5_1year, mdl53_ms5_1year))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""subtract(max(mdl53_jc5_1year, mdl53_jc6_1year, mdl53_jm5_1year, mdl53_ms5_1year), min(mdl53_jc5_1year, mdl53_jc6_1year, mdl53_jm5_1year, mdl53_ms5_1year))"", ""type"": ""REGULAR""}",CDquW1QK4n29Ystx5mIISS,COMPLETE,1787120036.16767,O07YVnmq,-9432059,-0.64,0.0569,-0.55,,
