fingerprint,alpha_type,regular_expression,selection_expression,combo_expression,settings_json,simulate_data_json,sim_id,status,timestamp,alpha_id,pnl,sharpe,turnover,fitness,error,error_details
9546dc6ddb10fc8817f7e8ca89c2a94d,REGULAR,"divide(residualized_return_asia_minvol1m, add(ts_std_dev(residualized_return_asia_minvol1m, 20), 0.0001))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""divide(residualized_return_asia_minvol1m, add(ts_std_dev(residualized_return_asia_minvol1m, 20), 0.0001))"", ""type"": ""REGULAR""}",35GhyRg684EIcgB1f177BN1r,COMPLETE,1787119053.95444,E5l78AAK,-9214359,-0.97,0.6136,-0.37,,
e0a33d9079e5bfa801ec0b6883109f05,REGULAR,"reverse(ts_mean(residualized_return_asia_top1100_liquid, 5))",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""reverse(ts_mean(residualized_return_asia_top1100_liquid, 5))"", ""type"": ""REGULAR""}",QwaUygss4XycqMHFLJVWuc,COMPLETE,1787119054.3245988,6Xl8obbJ,5027139,0.35,0.3416,0.13,,
3bfc5e35748adc3dec035afb0a175ab8,REGULAR,"subtract(asi_top1000_liquidity_dsrt, asi_top1500_liquidity_dsrt)",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""subtract(asi_top1000_liquidity_dsrt, asi_top1500_liquidity_dsrt)"", ""type"": ""REGULAR""}",139dteg5I5hjauEkIw4kLcJ,COMPLETE,1787119054.7396584,pwjXMg0X,-5107595,-0.37,0.6132,-0.11,,
d97cdd04383c75ac170f04ee4d6e6cd8,REGULAR,"ts_corr(rsk71_eqy_asi_supported_minvol1m_dsrt, rsk71_eqy_xjpci_supported_minvol1m_dsrt, 20)",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""ts_corr(rsk71_eqy_asi_supported_minvol1m_dsrt, rsk71_eqy_xjpci_supported_minvol1m_dsrt, 20)"", ""type"": ""REGULAR""}",4k0Zq8eoc4E5a33KTGGRHKe,COMPLETE,1787119055.1580563,zqkM2zao,-5093939,-0.52,0.1205,-0.33,,
153fb209fbff7c339910b635418498d6,REGULAR,"ts_mean(ts_delta(residualized_return_exjapan_minvol1m, 5), 10)",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""ts_mean(ts_delta(residualized_return_exjapan_minvol1m, 5), 10)"", ""type"": ""REGULAR""}",RgkMH8Kx4nqbsqlQjC4ZSG,COMPLETE,1787119055.566815,A1lWrd6Q,-9907636,-0.85,0.3934,-0.42,,
da91256a615f786e2a4441fdb6347044,REGULAR,"ts_mean(residualized_return_asia_minvol1m, 20)",,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""ts_mean(residualized_return_asia_minvol1m, 20)"", ""type"": ""REGULAR""}",3dNyhM6vF5dnaMJh0SQKqH6,COMPLETE,1787119055.9841826,P07WYEjW,-6437054,-0.42,0.2101,-0.23,,
8d24490e81b707f1227987b021b441fd,REGULAR,rsk71_eqy_asi_supported_minvol1m_dsrt,,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""rsk71_eqy_asi_supported_minvol1m_dsrt"", ""type"": ""REGULAR""}",1KB3zSES4sR9oUJKtwtq0C,COMPLETE,1787119056.4140995,bljkr37q,-5880800,-0.4,0.6404,-0.12,,
dd68cbc4548bb3eecfd625b4ce5419ca,REGULAR,rsk71_eqy_xjpci_supported_minvol1m_dsrt,,,"{""decay"": 0, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""ON"", ""nanHandling"": ""ON"", ""neutralization"": ""SECTOR"", ""pasteurization"": ""ON"", ""region"": ""KOR"", ""testPeriod"": ""P0D"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP600"", ""visualization"": false}","{""regular"": ""rsk71_eqy_xjpci_supported_minvol1m_dsrt"", ""type"": ""REGULAR""}",cIJoWcEd5aRbAdjc59xJd2,COMPLETE,1787119056.837858,E5l78Aom,-4508109,-0.31,0.6385,-0.08,,
